[2025-08-14T18:06:10Z INFO  engine] Loaded configuration from config/default.toml
[2025-08-14T18:06:10Z INFO  engine] System initialized successfully
[2025-08-14T18:06:39Z INFO  engine] Tick: 1, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:39Z INFO  engine] Tick: 2, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:39Z INFO  engine] Tick: 3, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:39Z INFO  engine] Tick: 4, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:40Z INFO  engine] Tick: 5, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:40Z INFO  engine] Tick: 6, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:40Z INFO  engine] Tick: 7, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:41Z INFO  engine] Tick: 8, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:41Z INFO  engine] Tick: 9, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:41Z INFO  engine] Tick: 10, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:42Z INFO  engine] Tick: 11, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:42Z INFO  engine] Tick: 12, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:42Z INFO  engine] Tick: 13, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:42Z INFO  engine] Tick: 14, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:43Z INFO  engine] Tick: 15, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:43Z INFO  engine] Tick: 16, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:43Z INFO  engine] Tick: 17, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:43Z INFO  engine] Tick: 18, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:44Z INFO  engine] Tick: 19, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:44Z INFO  engine] Tick: 20, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:44Z INFO  engine] Tick: 21, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:45Z INFO  engine] Tick: 22, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:45Z INFO  engine] Tick: 23, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:45Z INFO  engine] Tick: 24, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:46Z INFO  engine] Tick: 25, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:46Z INFO  engine] Tick: 26, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:46Z INFO  engine] Tick: 27, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:46Z INFO  engine] Tick: 28, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:47Z INFO  engine] Tick: 29, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:47Z INFO  engine] Tick: 30, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:47Z INFO  engine] Tick: 31, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:48Z INFO  engine] Tick: 32, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:48Z INFO  engine] Tick: 33, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:48Z INFO  engine] Tick: 34, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:49Z INFO  engine] Tick: 35, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:49Z INFO  engine] Tick: 36, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:49Z INFO  engine] Tick: 37, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:50Z INFO  engine] Tick: 38, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:50Z INFO  engine] Tick: 39, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:50Z INFO  engine] Tick: 40, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:50Z INFO  engine] Tick: 41, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:51Z INFO  engine] Tick: 42, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:51Z INFO  engine] Tick: 43, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:51Z INFO  engine] Tick: 44, Player 1 Pos: (N/A, N/A), Active Bombs: 0
[2025-08-14T18:06:52Z INFO  engine] Tick: 45, Player 1 Pos: (N/A, N/A), Active Bombs: 0
